title,author,dateread,cover,cover_path
"I, Robot",Isaac Asimov,22/04/04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1609035271l/41804.jpg,0.jpg
Do Androids Dream of Electric Sheep?,Philip K. Dick,22/04/10,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507838927l/36402034._SY475_.jpg,1.jpg
Dune,Frank Herbert,22/04/16,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414l/44767458.jpg,2.jpg
Dune Messiah,Frank Herbert,22/04/31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577043824l/44492285._SY475_.jpg,3.jpg
The Forever War,Joe Haldeman,22/03/31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386852511l/21611.jpg,4.jpg
Children of Dune,Frank Herbert,22/06/15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564783201l/44492286.jpg,5.jpg
Starship Troopers,Robert A. Heinlein,22/06/20,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614054412l/17214.jpg,6.jpg
Slaughterhouse-Five,Kurt Vonnegut,22/06/23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440319389l/4981.jpg,7.jpg
The Forever War,Joe Haldeman,22/07/20,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386852511l/21611.jpg,8.jpg
Ringworld,Larry Niven,22/07/19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408793358l/61179.jpg,9.jpg
Forever Peace,Joe Haldeman,22/09/05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267317517l/21618.jpg,10.jpg
The Lazarus Heist,Geoff White,22/09/24,https://m.media-amazon.com/images/I/51-5Ee5qwzL._AC_SY580_.jpg,11.jpg
Ender's Game,Orson Scot Card,22/09/28,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130l/375802._SY475_.jpg,12.jpg
Forever Free,Joe Haldeman,22/09/30,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328537928l/21620.jpg,13.jpg
God Emperor of Dune,Frank Herbert,22/11/28,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564025916l/44439415._SY475_.jpg,14.jpg
